Minutes jouées,Fatigue (%),Heures d’entraînement,Âge,Historique de blessures musculaires,Intensité des matchs (RPE),Position,Type de terrain,Température (°C),Humidité (%),Blessure musculaire
1534,99.56,9.8,24,0,7.6,Défenseur,Naturel,33.63081132268467,48.929171717800195,0
2926,100.0,13.1,29,0,6.3,Milieu,Synthétique,26.124977603254344,52.586981755748035,1
2071,76.82,10.5,29,1,7.2,Gardien,Synthétique,16.382829505704578,68.93268206809344,1
1203,78.09,7.2,24,1,8.9,Milieu,Naturel,19.741198137819016,75.23072328426579,1
2768,100.0,7.7,23,0,7.5,Gardien,Naturel,11.611068119051504,81.80587715204919,1
1523,86.68,10.2,30,0,6.0,Milieu,Synthétique,25.57522616306376,65.50505104145661,1
1393,77.56,10.8,26,0,7.0,Défenseur,Naturel,26.85805113840348,88.95528676890657,1
1719,91.47,12.9,23,0,6.2,Attaquant,Naturel,12.50315799931731,54.27167768423894,0
2244,100.0,8.3,26,0,7.7,Gardien,Mauvais,24.185010946315572,86.85230518942768,1
1370,79.36,13.0,27,0,7.5,Milieu,Naturel,17.936492994732394,80.84371962408278,0
1717,90.52,11.0,26,1,7.0,Attaquant,Synthétique,32.8598066153934,63.19051570028765,1
1338,84.18,10.4,25,0,8.2,Milieu,Mauvais,30.13989676082117,82.82129115184753,1
1880,73.67,13.8,18,1,5.6,Milieu,Synthétique,13.252458943793451,56.577023196585074,1
1207,89.86,12.2,26,1,6.3,Défenseur,Synthétique,26.93549031524472,34.58413475574401,1
2173,96.57,9.3,32,0,9.2,Milieu,Naturel,10.627934893792128,40.52896345626887,1
2496,94.24,7.3,18,0,8.2,Attaquant,Naturel,14.20739672692179,87.64169864648741,1
2395,96.23,11.1,23,0,6.9,Défenseur,Synthétique,21.687700312505008,63.07251136264578,0
872,71.57,7.6,21,1,7.0,Milieu,Naturel,19.64836851509682,47.05455868541555,1
2701,73.33,10.0,18,0,6.9,Milieu,Naturel,16.96186777345458,61.89514456359946,1
1829,92.02,8.9,34,0,5.5,Milieu,Synthétique,29.153771957746184,46.816605455284204,1
1969,91.94,9.4,26,1,6.4,Milieu,Naturel,18.237962128371898,54.00673636670885,1
3000,98.77,5.7,28,0,7.6,Défenseur,Naturel,18.271154699780393,51.81188392132292,0
2168,86.34,7.1,18,1,6.1,Milieu,Synthétique,25.07586917373996,68.5800224340784,1
2856,75.02,13.4,28,1,5.5,Milieu,Naturel,24.069864501119532,67.36620724490643,1
2835,90.88,11.8,21,0,7.7,Défenseur,Synthétique,29.525198638717235,48.108988638883346,1
2316,99.59,6.7,22,0,7.5,Attaquant,Mauvais,22.4834101458042,57.14941997397344,1
